ticker,event_date,event_type,alpha,beta,nearest_earnings_date,days_to_earnings,abs_days_to_earnings,earnings_surprise_pct,pre_earnings,CAR_pre20_pre1,CAR_0_1,CAR_0_5,CAR_0_10,CAR_0_20
NOW,2025-02-12,S - Sale+OE,0.0007588717569701,0.9554621185945448,2025-01-29 16:00:00,-10,10,0.2,False,,,,,
NOW,2025-02-12,S - Sale,0.0007588717569701,0.9554621185945448,2025-01-29 16:00:00,-10,10,0.2,False,,,,,
NOW,2025-02-14,S - Sale,0.0009607043238709,0.956794593069186,2025-01-29 16:00:00,-12,12,0.2,False,,,,,
NOW,2025-02-14,S - Sale+OE,0.0009607043238709,0.956794593069186,2025-01-29 16:00:00,-12,12,0.2,False,,,,,
NOW,2025-02-19,S - Sale+OE,0.0010144205157304,0.9497889654318354,2025-01-29 16:00:00,-14,14,0.2,False,-0.1618908039271663,-0.0280687212936637,-0.039796921327468,-0.0196583804448997,-0.0886131321881503
NOW,2025-02-21,S - Sale,0.0010949722774112,0.9635238605620668,2025-01-29 16:00:00,-16,16,0.2,False,-0.0805625447968001,-0.0104852188435769,0.012554466787036,0.0121018180113158,-0.0492441545235019
NOW,2025-02-25,S - Sale,0.000992480401132,0.9562095806209808,2025-01-29 16:00:00,-18,18,0.2,False,-0.0790590458511547,0.0241003504515606,0.0203703621858859,-0.0387876235356962,-0.0284740894437886
NOW,2025-02-27,S - Sale,0.0013700066867634,0.912052348132093,2025-01-29 16:00:00,-20,20,0.2,False,-0.0658758797546355,-0.0049927229337808,-0.0060007011474778,-0.0675537344067859,-0.0587161275479732
NOW,2025-03-03,S - Sale,0.0006886696683402,0.9237883488501732,2025-01-29 16:00:00,-22,22,0.2,False,-0.060957159362208,0.000705818363794,-0.0587515686022962,-0.0576113235874345,-0.0666051358070717
NOW,2025-04-17,S - Sale+OE,0.0012719081039337,0.9293890378305862,2025-04-23 16:00:00,3,3,5.36,True,0.0296047397537573,-0.0308449485528262,-0.0414302161931306,0.1161179264721839,0.1268968145341557
NOW,2025-04-29,S - Sale,0.0007376957831792,0.9338139815457416,2025-04-23 16:00:00,-4,4,5.36,False,0.138138639779237,0.0129074473691297,0.0065432825771012,0.0083498896726968,-0.0151971097798855
NOW,2025-05-09,S - Sale+OE,0.0008369624775665,1.00534945743822,2025-04-23 16:00:00,-12,12,5.36,False,0.1362225499550436,0.0048351395166185,-0.0173176602184747,-0.0243426974201883,-0.0385311786036066
